url,listing_type,name,price,category,bedrooms,bathrooms,floor_area,location,condition,amenities,region,locality,parking_space,is_furnished,lat,lng
https://tonaton.com/a-MfYFNdCgCvRXBioLVVyBxkMf1KHhrh9V-furnished-2bdrm-apartment-in-adjiriganor-for-rent.html,rentals,Furnished 2bdrm Apartment in Adjiriganor for rent,54000,Flats,2.0,2.0,350.0,"Greater Accra, Adjiriganor",New,"24-hour Electricity,Air Conditioning,Apartment,Balcony,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor,TV,Wardrobe,Wi-Fi",Greater Accra,Adjiriganor,False,Furnished,5.6510376,-0.1354586
https://tonaton.com/a-MfYFNdCgV8OrnmHKEyitX73xMQwkQQFb-1bdrm-apartment-in-penny-teshie-for-rent.html,rentals,"1bdrm Apartment in Penny, Teshie for rent",1000,Flats,1.0,1.0,15.0,"Greater Accra, Teshie",Used,"Apartment,Kitchen Cabinets,Kitchen Shelf,Dishwasher",Greater Accra,Teshie,False,Unfurnished,5.5831665,-0.1046082
https://tonaton.com/a-MfYFNdCgxn4eVe9oNRx7AntCsgCfGuIz-2bdrm-apartment-in-ecomoy-2-bedroom-ecomog-for-rent.html,rentals,"2bdrm Apartment in Ecomoy 2 Bedroom, ECOMOG for Rent",2500,Flats,2.0,2.0,700.0,"Greater Accra, Haatso, ECOMOG",New,"Apartment,Tiled Floor,Kitchen Cabinets,Dining Area,Pop Ceiling,Pre-Paid Meter,24-hour Electricity",Greater Accra,Haatso,False,Unfurnished,5.6806047,-0.2004374
https://tonaton.com/a-MfYFNdCgSDhFfPP2sliCSwUftOZ2l57n-2bdrm-apartment-in-zenu-ashieman-ashaiman-municipal-for-rent.html,rentals,"2bdrm Apartment in Zenu , Ashieman, Ashaiman Municipal for rent",1800,Flats,2.0,2.0,100.0,"Greater Accra, Ashaiman Municipal",New,"24-hour Electricity,Apartment,Balcony,Chandelier,Dining Area,Hot Water,Kitchen Cabinets,Pop Ceiling,Tiled Floor",Greater Accra,Ashaiman Municipal,False,Unfurnished,5.6983973,-0.0279867
https://tonaton.com/a-MfYFNdCgZy58sGeFntEThGKC1uTG9lO2-3bdrm-apartment-in-wisa-groups-accra-metropolitan-for-rent.html,rentals,"3bdrm Apartment in Wisa Groups, Accra Metropolitan for rent",7000,Flats,3.0,4.0,753.0,"Greater Accra, Accra Metropolitan",New,"24-hour Electricity,Air Conditioning,Apartment,Balcony,Chandelier,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor,TV,Wardrobe,Wi-Fi",Greater Accra,Accra Metropolitan,False,Semi-Furnished,5.5459415,-0.2103988
https://tonaton.com/a-MfYFNdCgiCFNgoVcfe5zTWez3xZPtmbn-4bdrm-house-in-charclem-ventures-adenta-for-rent.html,rentals,"4bdrm House in Charclem Ventures, Adenta for rent",9100,Detached,4.0,5.0,150.0,"Greater Accra, Adenta",New,"24-hour Electricity,Air Conditioning,Balcony,Chandelier,Dining Area,Hot Water,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Wardrobe",Greater Accra,Adenta,False,Semi-Furnished,5.7141674,-0.15418
https://tonaton.com/a-MfYFNdCgEK7AZwKM82jOQpZwgyfpxQS4-3bdrm-apartment-in-oyarifa-owusu-ansah-for-rent.html,rentals,"3bdrm Apartment in Oyarifa, Owusu Ansah for rent",3000,Flats,3.0,3.0,4000.0,"Greater Accra, Oyarifa, Owusu Ansah",Used,"24-hour Electricity,Apartment,Balcony,Dining Area,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Wardrobe",Greater Accra,Oyarifa,False,Unfurnished,5.7443822,-0.1718669
https://tonaton.com/a-MfYFNdCgZocepbkKUBRI3VBBuzccR7XW-2bdrm-apartment-in-pleasant-properties-spintex-for-rent.html,rentals,"2bdrm Apartment in Pleasant Properties, Spintex for Rent",2500,Flats,2.0,3.0,2000.0,"Greater Accra, Spintex",New,"Apartment,Balcony,TV,Kitchen Shelf,Kitchen Cabinets,Pre-Paid Meter,Wardrobe,Dishwasher,Pop Ceiling,Dining Area,Air Conditioning,24-hour Electricity",Greater Accra,Spintex,False,Semi-Furnished,5.6376136,-0.1266064
https://tonaton.com/a-MfYFNdCge9tuZZf6cd2JwaiMU6bbpcSL-2bdrm-apartment-in-legacy-consult-addogonno-for-rent.html,rentals,"2bdrm Apartment in Legacy Consult, Addogonno for Rent",1500,Flats,2.0,2.0,17.0,"Greater Accra, Nungua, Addogonno",Used,"24-hour Electricity,Apartment,Dishwasher,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Kitchen Cabinets,Balcony",Greater Accra,Nungua,False,Unfurnished,5.6195093,-0.09194609999999999
https://tonaton.com/a-MfYFNdCgNU1VhHGXlPWBofiUxOF4sppG-1bdrm-apartment-in-unique-key-agency-tseaddo-for-rent.html,rentals,"1bdrm Apartment in Unique Key Agency, Tseaddo for rent",8800,Flats,1.0,1.0,100.0,"Greater Accra, Teshie, Tseaddo",New,"24-hour Electricity,Air Conditioning,Apartment,Balcony,Chandelier,Dining Area,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor,Wardrobe,Wi-Fi",Greater Accra,Teshie,False,Semi-Furnished,5.5862504,-0.1394584
https://tonaton.com/a-MfYFNdCgOL2Ojppz2PXyxWD18huZKTcx-furnished-4bdrm-townhouse-terrace-in-tes-addo-is-1-500-tseaddo.html,rentals,"Furnished 4bdrm Townhouse / Terrace in Tes Addo Is $1,500, Tseaddo",22000,Townhouse,4.0,5.0,200.0,"Greater Accra, Teshie, Tseaddo",Used,"24-hour Electricity,Air Conditioning,Apartment,Balcony,Chandelier,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor,TV,Wardrobe,Wi-Fi",Greater Accra,Teshie,False,Furnished,5.5862504,-0.1394584
https://tonaton.com/a-MfYFNdCh1oIv6wzh6aDQhy6HvlvL5EdJ-2bdrm-apartment-in-east-legon-for-rent.html,rentals,2bdrm Apartment in East Legon for rent,2300,Flats,2.0,2.0,14.0,"Greater Accra, East Legon",New,"24-hour Electricity,Balcony,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Tiled Floor",Greater Accra,East Legon,False,Unfurnished,5.6358281,-0.1613592
https://tonaton.com/a-MfYFNdCgl9Dgh5sHsR7PHQKB7UGuqNou-furnished-2bdrm-apartment-in-seekers-realty-east-legon-for-rent.html,rentals,"Furnished 2bdrm Apartment in Seekers Realty, East Legon for rent",36000,Flats,2.0,3.0,110.0,"Greater Accra, East Legon",Used,"24-hour Electricity,Air Conditioning,Apartment,Balcony,Chandelier,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor,TV,Wardrobe,Wi-Fi",Greater Accra,East Legon,False,Furnished,5.6358281,-0.1613592
https://tonaton.com/a-MfYFNdCgflQCqueuESDy3KGF4ifflYWh-4bdrm-house-in-classic-global-bortiano-for-rent.html,rentals,"4bdrm House in Classic Global, Bortiano for rent",4000,Detached,4.0,5.0,1320.0,"Greater Accra, Weija, Bortiano",New,"24-hour Electricity,Dining Area,Pop Ceiling,Pre-Paid Meter,Tiled Floor",Greater Accra,Weija,False,Semi-Furnished,5.5117764,-0.3348372
https://tonaton.com/a-MfYFNdCgWq3UM5atzpwIS4OuA72d2BBy-2bdrm-apartment-in-trasaco-east-legon-for-rent.html,rentals,"2bdrm Apartment in Trasaco, East Legon for rent",4500,Flats,2.0,3.0,100.0,"Greater Accra, East Legon",New,"24-hour Electricity,Air Conditioning,Apartment,Chandelier,Dining Area,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling",Greater Accra,East Legon,False,Unfurnished,5.6358281,-0.1613592
https://tonaton.com/a-MfYFNdCgOyBm5AiwzS3Pp6ROXdE83xTy-mini-flat-in-prospering-real-kumasi-metropolitan-for-rent.html,rentals,"Mini Flat in Prospering Real, Kumasi Metropolitan for rent",1000,Flats,2.0,1.0,100.0,"Ashanti, Kumasi Metropolitan",New,"24-hour Electricity,Balcony,Chandelier,Dishwasher,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Tiled Floor",Ashanti,Kumasi Metropolitan,False,Unfurnished,6.6932173,-1.627507
https://tonaton.com/a-MfYFNdCgKTqUCr3AIiTPVd6zejVAKNus-2bdrm-apartment-in-dome-gym-for-rent.html,rentals,2bdrm Apartment in Dome Gym for rent,2000,Flats,2.0,1.0,20.0,"Greater Accra, Dome",New,"24-hour Electricity,Apartment,Kitchen Cabinets,Pop Ceiling,Pre-Paid Meter,Tiled Floor",Greater Accra,Dome,False,Unfurnished,5.6562651,-0.2338473
https://tonaton.com/a-MfYFNdCh1KJYfIDOnYf2hWBeJENedszN-4bdrm-duplex-in-suadom-properties-baatsona-total-for-rent.html,rentals,"4bdrm Duplex in Suadom Properties, Baatsona Total for Rent",7000,Duplex,4.0,5.0,1244.0,"Greater Accra, Spintex, Baatsona Total",Used,"Kitchen Shelf,Refrigerator,Microwave",Greater Accra,Spintex,False,Unfurnished,5.6274508,-0.0872742
https://tonaton.com/a-MfYFNdCh3mGeuMhtScvoXoyuOUV3e876-2bdrm-apartment-in-adenta-for-rent.html,rentals,2bdrm Apartment in Adenta for rent,2000,Flats,2.0,2.0,1000.0,"Greater Accra, Adenta",New,"24-hour Electricity,Air Conditioning,Apartment,Balcony,Dining Area,Chandelier,Dishwasher,Kitchen Cabinets,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Wardrobe",Greater Accra,Adenta,False,Unfurnished,5.7141674,-0.15418
https://tonaton.com/a-MfYFNdCgLXjZlEZR19thLlR3U0M9nukT-1bdrm-apartment-in-malik-teshie-for-rent.html,rentals,"1bdrm Apartment in Malik, Teshie for rent",500,Flats,1.0,1.0,100.0,"Greater Accra, Teshie",Used,"24-hour Electricity,Kitchen Shelf,Pre-Paid Meter,Tiled Floor",Greater Accra,Teshie,False,Unfurnished,5.5831665,-0.1046082
https://tonaton.com/a-MfYFNdCgtjxiwGaRIVhPj8X5SzZKXCQd-4bdrm-duplex-in-wisa-groups-burma-camp-for-rent.html,rentals,"4bdrm Duplex in Wisa Groups, Burma Camp for Rent",30000,Duplex,4.0,5.0,56.0,"Greater Accra, Burma Camp",New,"24-hour Electricity,Air Conditioning,Apartment,Balcony,Chandelier,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Microwave,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor",Greater Accra,Burma Camp,False,Semi-Furnished,5.5958462,-0.1518394
https://tonaton.com/a-MfYFNdCgHqzwGU7PCHFqTPSNBud4lUnm-2bdrm-apartment-in-bortiano-for-rent.html,rentals,2bdrm Apartment in Bortiano for rent,1500,Flats,2.0,3.0,100.0,"Greater Accra, Weija, Bortiano",New,"24-hour Electricity,Apartment,Balcony,Chandelier,Dining Area,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Tiled Floor",Greater Accra,Weija,False,Unfurnished,5.5117764,-0.3348372
https://tonaton.com/a-MfYFNdCgYgm4SefMChyEL9lHQu09BFyL-3bdrm-apartment-in-hamza-estate-ability-for-rent.html,rentals,"3bdrm Apartment in Hamza Estate, Ability for rent",5000,Flats,3.0,3.0,100.0,"Greater Accra, Adjiriganor, Ability",Used,"24-hour Electricity,Air Conditioning,Apartment,Balcony,Chandelier,Dining Area,Kitchen Cabinets,Pop Ceiling",Greater Accra,Adjiriganor,False,Unfurnished,5.6619606,-0.1290806
https://tonaton.com/a-MfYFNdCgGvKSuPFKma9NV2PkpJ3HjCCn-3bdrm-apartment-in-acp-pokuasi-road-ashomang-estate-for-rent.html,rentals,"3bdrm Apartment in Acp Pokuasi Road, Ashomang Estate for Rent",1400,Flats,3.0,3.0,600.0,"Greater Accra, Ashomang Estate",Used,"Pop Ceiling,Tiled Floor,24-hour Electricity,Kitchen Shelf,Pre-Paid Meter,Air Conditioning,Kitchen Cabinets,Dining Area,Wardrobe,Balcony,Apartment",Greater Accra,Ashomang Estate,False,Semi-Furnished,5.6887241,-0.2270226
https://tonaton.com/a-MfYFNdCgBj9qJ8acrPlcRAERSXWSl0Zb-4bdrm-house-in-amasaman-nsawam-road-for-rent.html,rentals,4bdrm House in Amasaman-Nsawam Road for rent,3700,Detached,4.0,5.0,150.0,"Greater Accra, Ga West Municipal, Amasaman",New,"24-hour Electricity,Apartment,Balcony,Dining Area,Hot Water,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Tiled Floor",Greater Accra,Ga West Municipal,False,Semi-Furnished,5.7062137,-0.3019281
https://tonaton.com/a-MfYFNdCgkWwlFCcAi2LHcoNNxH6GUR2g-furnished-1bdrm-apartment-in-marios-properties-east-legon-for-rent.html,rentals,"Furnished 1bdrm Apartment in Marios Properties, East Legon for Rent",11000,Flats,1.0,1.0,100.0,"Greater Accra, East Legon",Used,"24-hour Electricity,Air Conditioning,Apartment,Balcony,Chandelier,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor,TV,Wardrobe,Wi-Fi",Greater Accra,East Legon,False,Furnished,5.6358281,-0.1613592
https://tonaton.com/a-MfYFNdCgDtNSQw949MEtnKIoZ4H9Vc5m-5bdrm-house-in-lakeside-for-rent.html,rentals,5bdrm House in Lakeside for rent,10000,Detached,5.0,4.0,1205.0,"Greater Accra, Ashaley Botwe, Lake Side Estate",Used,"Air Conditioning,Chandelier,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Wardrobe,Balcony",Greater Accra,Ashaley Botwe,False,Semi-Furnished,5.6802129,-0.1372479
https://tonaton.com/a-MfYFNdCgY7uSt0eJoIo84KuJEcO67oGw-2bdrm-apartment-in-mac-westage-consult-oyarifa-for-rent.html,rentals,"2bdrm Apartment in Mac Westage Consult, Oyarifa for rent",2500,Flats,2.0,2.0,102.0,"Greater Accra, Oyarifa",New,"24-hour Electricity,Kitchen Cabinets,Pop Ceiling,Tiled Floor,Apartment",Greater Accra,Oyarifa,False,Unfurnished,5.7556353,-0.1738945
https://tonaton.com/a-MfYFNdCgUJxyS5Laiew76IfKmtVq1hS0-1bdrm-apartment-in-taifa-burkina-for-rent.html,rentals,1bdrm Apartment in Taifa-Burkina for rent,600,Flats,1.0,1.0,14.0,"Greater Accra, Taifa-Burkina",Used,"24-hour Electricity,Apartment,Kitchen Shelf",Greater Accra,Taifa-Burkina,False,Unfurnished,5.6663422,-0.2522717
https://tonaton.com/a-MfYFNdCgthHS5F7wjZLc7LiRWWaYatN8-furnished-1bdrm-apartment-in-ab-richie-properties-osu-for-rent.html,rentals,"Furnished 1bdrm Apartment in Ab Richie Properties, Osu for rent",10600,Flats,1.0,1.0,56.0,"Greater Accra, Osu",Used,"24-hour Electricity,Air Conditioning,Apartment,Balcony,Chandelier,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor,TV,Wardrobe,Wi-Fi",Greater Accra,Osu,False,Furnished,5.5570305,-0.1762717
https://tonaton.com/a-MfYFNdCgDThepAek9TOjPZw7xMAWTqpb-1bdrm-apartment-in-new-dawhenya-ars-tema-metropolitan-for-rent.html,rentals,"1bdrm Apartment in New Dawhenya Ars, Tema Metropolitan for rent",800,Flats,1.0,1.0,90.0,"Greater Accra, Tema Metropolitan",Used,"24-hour Electricity,Balcony,Kitchen Cabinets,Pop Ceiling,Pre-Paid Meter,Tiled Floor",Greater Accra,Tema Metropolitan,False,Unfurnished,5.6563118,-0.009326599999999999
https://tonaton.com/a-MfYFNdCgAaTKOtqYH9E5s7w5AeZIhz6v-furnished-1bdrm-apartment-in-xcellence-properties-ability-for-rent.html,rentals,"Furnished 1bdrm Apartment in Xcellence Properties, Ability for rent",8000,Flats,1.0,1.0,12.0,"Greater Accra, Adjiriganor, Ability",New,"24-hour Electricity,Air Conditioning,Balcony,Hot Water,Kitchen Cabinets,Microwave,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor,TV,Wardrobe,Wi-Fi",Greater Accra,Adjiriganor,False,Furnished,5.6619606,-0.1290806
https://tonaton.com/a-MfYFNdCgOfJ3U5b78S1RXyNbolQs9wiS-2bdrm-apartment-in-center-maria-accra-metropolitan-for-rent.html,rentals,"2bdrm Apartment in Center Maria, Accra Metropolitan for rent",1000,Flats,2.0,1.0,21.0,"Greater Accra, Accra Metropolitan",Used,24-hour Electricity,Greater Accra,Accra Metropolitan,False,Unfurnished,5.5459415,-0.2103988
https://tonaton.com/a-MfYFNdCgqe7t4uM91eukpMtkRhqQGUph-furnished-2bdrm-apartment-in-kumasi-metropolitan-for-rent.html,rentals,Furnished 2bdrm Apartment in Kumasi Metropolitan for rent,1000,Flats,2.0,1.0,900.0,"Ashanti, Kumasi Metropolitan",Used,"Apartment,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Tiled Floor,Pre-Paid Meter,24-hour Electricity",Ashanti,Kumasi Metropolitan,False,Furnished,6.6932173,-1.627507
https://tonaton.com/a-MfYFNdCgwGXBbUVpQGeLkK6nkDG2zgFB-1bdrm-apartment-in-east-airport-residential-area-for-rent.html,rentals,"1bdrm Apartment in East, Airport Residential Area for rent",2000,Flats,1.0,1.0,100.0,"Greater Accra, Airport Residential Area",New,"24-hour Electricity,Tiled Floor,Pre-Paid Meter,Pop Ceiling,Kitchen Cabinets,Hot Water,Dishwasher,Apartment",Greater Accra,Airport Residential Area,False,Unfurnished,5.606104699999999,-0.1860362
https://tonaton.com/a-MfYFNdCgwEJZyUSPRBQlx6MeBaBdVvIx-furnished-3bdrm-apartment-in-north-kaneshie-for-rent.html,rentals,Furnished 3bdrm Apartment in North Kaneshie for rent,19200,Flats,3.0,2.0,1111.0,"Greater Accra, Kaneshie, North Kaneshie",Used,"Air Conditioning,Apartment,Balcony,Chandelier,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor,TV,Wardrobe",Greater Accra,Kaneshie,False,Furnished,5.586297300000001,-0.2419606
https://tonaton.com/a-MfYFNdCgZuKoEbcW6F6teyskp8KQLiAT-furnished-2bdrm-apartment-in-east-legon-for-rent.html,rentals,Furnished 2bdrm Apartment in East Legon for rent,39000,Flats,2.0,2.0,90.0,"Greater Accra, East Legon",New,"24-hour Electricity,Air Conditioning,Apartment,Balcony,Chandelier,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor,TV,Wardrobe,Wi-Fi",Greater Accra,East Legon,False,Furnished,5.6358281,-0.1613592
https://tonaton.com/a-MfYFNdCgivC2N52rx0inYuPLKksRZ5hn-7bdrm-mansion-in-walako-estate-spintex-for-rent.html,rentals,"7bdrm Mansion in Walako Estate, Spintex for rent",10000,Mansion,7.0,5.0,400.0,"Greater Accra, Spintex",Used,"24-hour Electricity,Apartment,Balcony,Dining Area,Kitchen Cabinets,Kitchen Shelf,Pre-Paid Meter,Tiled Floor,Wardrobe",Greater Accra,Spintex,False,Unfurnished,5.6376136,-0.1266064
https://tonaton.com/a-MfYFNdCgIu1yM7KsoWEcBJGQWNiW0o0c-5bdrm-duplex-in-wisa-groups-accra-metropolitan-for-rent.html,rentals,"5bdrm Duplex in Wisa Groups, Accra Metropolitan for Rent",7000,Duplex,5.0,6.0,234.0,"Greater Accra, Accra Metropolitan",Used,"24-hour Electricity,Air Conditioning,Apartment,Balcony,Chandelier,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor,TV,Wardrobe",Greater Accra,Accra Metropolitan,False,Unfurnished,5.5459415,-0.2103988
https://tonaton.com/a-MfYFNdCgzZiGggQ7jmna1JOZ8oKifKz0-3bdrm-house-in-acp-kwabenya-for-rent.html,rentals,"3bdrm House in Acp, Kwabenya for rent",6000,Detached,3.0,3.0,10.0,"Greater Accra, Ga West Municipal, Kwabenya",Used,"Dining Area,Pre-Paid Meter,Tiled Floor,Wardrobe",Greater Accra,Ga West Municipal,False,Unfurnished,5.6844172,-0.2537157
https://tonaton.com/a-MfYFNdCgwROULDPBlKd3j78ycu2qT0w5-2bdrm-block-of-flats-in-kumasi-metropolitan-for-rent.html,rentals,2bdrm Block of Flats in Kumasi Metropolitan for rent,1500,Semi-Detached,2.0,2.0,70.0,"Ashanti, Kumasi Metropolitan",New,"24-hour Electricity,Apartment,Balcony,Dining Area,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Wardrobe",Ashanti,Kumasi Metropolitan,False,Unfurnished,6.6932173,-1.627507
https://tonaton.com/a-MfYFNdCgStoKNMxtD1INBQwmVnhfp3LJ-furnished-1bdrm-apartment-in-westland-for-rent.html,rentals,Furnished 1bdrm Apartment in Westland for rent,9000,Flats,1.0,1.0,122.0,"Greater Accra, West Legon",New,"24-hour Electricity,Air Conditioning,Apartment,Chandelier,Dining Area,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor,TV,Wardrobe",Greater Accra,West Legon,False,Furnished,5.6495001,-0.2100343
https://tonaton.com/a-MfYFNdCgfMqAbpm6PDaje4LRSbYathjN-furnished-2bdrm-apartment-in-east-legon-for-rent.html,rentals,Furnished 2bdrm Apartment in East Legon for rent,15000,Flats,2.0,2.0,655.0,"Greater Accra, East Legon",Used,"24-hour Electricity,Air Conditioning,Apartment,Balcony,Dining Area,Chandelier,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor,TV,Wardrobe,Wi-Fi",Greater Accra,East Legon,False,Furnished,5.6358281,-0.1613592
